Eligible Companies as per Average Market Capitalisation from Nov 2025 to April 2026,,,,
Sr. No.,Scrip Code,Name of Company,,
589,540879,Apollo Micro Systems Limited,,
590,500655,GARWARE HI-TECH FILMS LIMITED,,
591,505537,Zee Entertainment Enterprises Ltd.,,
592,544476,Jeena Sikho Lifecare Limited,,
593,532757,VOLTAMP TRANSFORMERS LIMITED,,
594,532531,STRIDES PHARMA SCIENCE LIMITED,,
595,542323,KPI Green Energy Limited,,
596,544595,Orkla India Limited,,
597,505355,Nesco Ltd,,
598,533248,Gujarat Pipavav Port Limited,,
599,544488,Vikram Solar Limited,,
600,530813,KRBL Ltd.,,
601,543398,Latent View Analytics Limited,,
602,532356,Triveni Engineering & Industries Ltd,,
603,543490,GMR Power and Urban Infra Limited,,
604,544256,P N GADGIL JEWELLERS LIMITED,,
605,524404,Marksans Pharma Ltd.,,
606,544009,Blue Jet Healthcare Limited,,
607,533269,VA Tech Wabag Limited,,
608,544679,Amagi Media Labs Limited,,
609,541974,Manorama Industries Limited,,
610,532349,Transport Corporation of India Ltd,,
611,505533,WESTLIFE FOODWORLD LIMITED,,
612,506767,Alkyl Amines Chemicals Ltd.,,
613,532313,Mahindra Lifespace Developers Ltd.,,
614,532652,Karnataka Bank Ltd.,,
615,500335,Birla Corporation Ltd.,,
616,543523,Campus Activewear Limited,,
617,517506,TTK Prestige Ltd.,,
618,544645,PARK MEDI WORLD LIMITED,,
619,532915,Religare Enterprises Ltd,,
620,512463,LLOYDS ENTERPRISES LIMITED,,
621,544527,Atlanta Electricals Limited,,
622,532867,V2 Retail Limited,,
623,522285,Jayaswal Neco Industries Ltd,,
624,531431,Shakti Pumps (India) Ltd.,,
625,544484,BlueStone Jewellery and Lifestyle Limited,,
626,540595,Tejas Networks Limited,,
627,500265,Maharashtra Seamless Ltd.,,
628,544317,Transrail Lighting Limited,,
629,521070,Alok Industries Ltd.,,
630,544570,WeWork India Management Limited,,
631,533095,Bengal & Assam Company Limited,,
632,524230,Rashtriya Chemicals & Fertilizers Limited,,
633,540047,Dilip Buildcon Limited,,
634,505283,Kirloskar Pneumatic Co.Ltd.,,
635,522163,Diamond Power Infrastructure Limited,,
636,534809,PC JEWELLER LIMITED,,
637,544222,Akums Drugs and Pharmaceuticals Limited,,
638,543425,C.E. Info Systems Limited,,
639,540293,Pricol Limited,,
640,500245,Kirloskar Ferrous Industries Ltd.,,
641,544469,Sri Lotus Developers and Realty Limited,,
642,506655,Sudarshan Chemical Indus. Ltd.,,
643,532808,Pearl Global Industries Limited,,
644,512529,VIYASH SCIENTIFIC LIMITED,,
645,543243,Equitas Small Finance Bank Limited,,
646,532374,Sterlite Technologies Limited.,,
647,544685,SHADOWFAX TECHNOLOGIES LIMITED,,
648,542867,CSB Bank Limited,,
649,543417,RateGain Travel Technologies Limited,,
650,544723,SEDEMAC MECHATRONICS LIMITED,,
651,500123,Elantas Beck India Ltd,,
652,533047,Indian Metals & Ferro Alloys Limited,,
