Eligible Companies as per Average Market Capitalisation from Nov 2025 to April 2026,,,,
Sr. No.,Scrip Code,Name of Company,,
1279,533761,GPT Infraprojects limited,,
1280,543254,Antony Waste Handling Cell Limited,,
1281,520073,RACL Geartech Limited,,
1282,543419,Shriram Properties Limited,,
1283,544029,Gandhar Oil Refinery (India) Limited,,
1284,507747,TTK Healthcare Ltd.,,
1285,532880,OMAXE LIMITED,,
1286,500402,SPML Infra Limited,,
1287,532624,Jindal Photo Limited,,
1288,513554,Mahamaya Steel Industries Limited,,
1289,543929,HMA Agro Industries Limited,,
1290,540774,IFGL Refractories Limited,,
1291,544020,ESAF Small Finance Bank Ltd,,
1292,539221,Sportking India Ltd.,,
1293,544310,Yash Highvoltage Limited,,
1294,539289, Aurum PropTech Limited,,
1295,530475,Tinna Rubber and Infrastructure Limited,,
1296,539046,Manaksia Coated Metals & Industries Ltd,,
1297,502330,ANDHRA PAPER LIMITED,,
1298,524520,KMC Speciality Hospitals India Limited,,
1299,514043,Himatsingka Seide Ltd.,,
1300,524669,Hester Biosciences Ltd,,
1301,532684,Everest Kanto Cylinders Ltd.,,
1302,513250,Jyoti Structures Ltd.,,
1303,544316,DAM Capital Advisors Limited,,
1304,533263,Orient Green Power Company Limited,,
1305,524470,Syncom Formulations (India) Ltd.,,
1306,544134,Platinum Industries Limited,,
1307,530307,Chaman Lal Setia Exports Ltd.,,
1308,530355,ASIAN ENERGY SERVICES LTD,,
1309,538836,Monte Carlo Fashions Limited,,
1310,532742,PAUSHAK LIMITED (formerly known as Darshak Limited),,
1311,539309,Rama Steel Tubes Limited,,
1312,521238,BHARAT GLOBAL DEVELOPERS LIMITED,,
1313,512020,Saraswati Commercial (India) Ltd.,,
1314,539997,Kwality Pharmaceuticals Limited,,
1315,526829,Confidence Petroleum India Limited,,
1316,507789,Jagsonpal Pharmaceuticals Limited,,
1317,506194,Arihant Superstructures Limited,,
1318,532633,Alldigi Tech Limited,,
1319,539607,Blue Cloud Softech Solutions Limited,,
1320,522073,The Hi-Tech Gears Limited,,
1321,531147,Alicon Castalloy Limited,,
1322,544339,Laxmi Dental Limited,,
1323,538668,Meghna Infracon Infrastructure Limited,,
1324,501150,Centrum Capital Limited,,
1325,532923,RENAISSANCE GLOBAL LIMITED,,
1326,505400,Texmaco Infrastructure & Holdings Ltd,,
1327,543920,CFF FLUID CONTROL LIMITED,,
1328,531795,Atul Auto Limited,,
1329,517380,Igarashi Motors India Ltd.,,
1330,509438,Benares Hotels Ltd,,
1331,539151,Arfin India Limited,,
1332,543923,IKIO Technologies Limited,,
1333,506685,Ultramarine & Pigments Ltd.,,
1334,539799,Bharat Wire Ropes Limited,,
1335,530699,Raj Rayon Industries Limited,,
1336,513536,Gujarat Natural Resources Limited,,
1337,530879,CAPITAL INDIA FINANCE LIMITED,,
1338,544227,UNICOMMERCE ESOLUTIONS LIMITED,,
1339,533552,RUPA & COMPANY LIMITED,,
1340,544117,Signpost India Limited,,
1341,532382,Balaji Telefilms Ltd.,,
1342,544336,Quadrant Future Tek Limited,,
1343,532365,Dynacons Systems & Solutions Ltd.,,
1344,544253,Kross Limited,,
1345,514448,Jyoti Resins & Adhesives Ltd,,
1346,508954,Finkurve Financial Services Limited,,
1347,523105,CROPSTER AGRO LIMITED,,
1348,544718,PNGS Reva Diamond Jewellery Limited,,
1349,530929,RRP DEFENSE LIMITED,,
1350,532067,3B BlackBio Dx Limited,,
1351,543597,Virtuoso Optoelectronics Limited,,
1352,509675,BIRLANU LIMITED,,
1353,511768,Master Trust Ltd.,,
1354,522257,Rajoo Engineers Ltd.,,
1355,539678,Quick Heal Technologies Limited,,
1356,544120,Capital Small Finance Bank Ltd,,
1357,500650,Excell Industries Ltd.,,
1358,539872,Bajaj Healthcare Limited,,
1359,544281,A B INFRABUILD LIMITED,,
1360,500199,IG Petrochemicals Ltd,,
1361,507410,Walchandnagar Industries Ltd,,
1362,502180,Shree Digvijay Cement Co. Ltd.,,
1363,512267,Media Matrix Worldwide Ltd.,,
1364,523445,Reliance Industrial Infrastructure,,
1365,532341,IZMO Limited,,
1366,544633,VIDYA WIRES LIMITED,,
1367,517421,Butterfly Gandhimathi Appliances Limited,,
1368,513119,ONIX SOLAR ENERGY LIMITED,,
1369,524717,Titan Bio-Tech Ltd.,,
1370,539334,Shree Pushkar Chemicals & Fertilisers Limited,,
1371,517500,Roto Pumps Ltd.,,
1372,544054,Suraj Estate Developers Limited,,
1373,532719,B L Kashyap and Sons Ltd,,
1374,517059,Salzer Electronics Ltd.,,
1375,544258,Western Carriers (India) Limited,,
1376,543399,Tarsons Products Limited,,
1377,536773,JINDAL POLY INVESTMENT AND FINANCE COMPANY LIMITED,,
1378,500207,Indo Rama Synthetics (India) Ltd.,,
1379,524774,NGL Fine Chem Ltd.,,
1380,540776,5paisa Capital Limited,,
1381,543996,Updater Services Limited,,
1382,539469,PANORAMA STUDIOS INTERNATIONAL LIMITED ,,
1383,506166,Apis India Ltd,,
1384,544158,SRM CONTRACTORS LIMITED,,
1385,543517,Hariom Pipe Industries Limited,,
1386,530555,Paramount Communications Ltd.,,
1387,530079,Faze Three Ltd.,,
1388,544534,Jaro Institute of Technology Management and Research Limited,,
1389,544131,GPT Healthcare Limited,,
1390,500439,Vardhman Holdings Limited,,
1391,544264,Diffusion Engineers Limited,,
1392,500304,NIIT Ltd.,,
1393,523229,Bharat Seats Ltd,,
1394,534742,ZUARI AGRO CHEMICALS LIMITED,,
1395,538119,R&B Denims Limited,,
1396,531633,Lincoln Pharmaceuticals ltd.,,
1397,517172,Pervasive Commodities Limited,,
1398,544446,Advent Hotels International Limited,,
1399,544239,ECOS (India) Mobility & Hospitality Limited,,
1400,507753,TGV SRAAC LIMITED,,
1401,531381,Arihant Foundations & Housing Ltd.,,
1402,526173,Andrew Yule & Company Ltd,,
1403,522295,Control Print (India) Ltd.,,
1404,522108,Yuken India Ltd.,,
1405,544395,STL Networks Limited,,
1406,507438,IFB Agro Industries Ltd,,
1407,534748,Steel Exchange India Ltd.,,
1408,505036,Automobile Corpn. of Goa Ltd.,,
1409,540692,Apex Frozen Foods Limited,,
1410,544202,STANLEY LIFESTYLES LIMITED,,
1411,544004,IRM ENERGY LIMITED,,
1412,534369,Tribhovandas Bhimji Zaveri Limited,,
1413,508933,AYM Syntex Limited,,
1414,526666,Bhartiya International Ltd.,,
1415,526953,Venus Remedies Ltd.,,
1416,533285,RDB INFRASTRUCTURE AND POWER LIMITED,,
1417,540704,Matrimony.com Limited,,
1418,515008,Modern Insulators Ltd.,,
1419,544184,Borosil Scientific Limited,,
1420,532699,Royal Orchid Hotels Ltd,,
1421,500264,Mafatlal Industries Ltd.,,
1422,531847,Asian Star Co. Ltd.,,
1423,543712,ABANS FINANCIAL SERVICES LIMITED,,
1424,511413,CREST VENTURES LIMITED,,
1425,544731,RAJPUTANA STAINLESS LIMITED,,
1426,543389,Sigachi Industries Limited,,
1427,526775,Valiant Communications Ltd.,,
1428,502137,Deccan Cements Ltd.,,
1429,523475,Lotus Chocolate Co. Ltd.,,
1430,544536,Wealth First Portfolio Managers Limited,,
1431,543709,PNGS GARGI FASHION JEWELLERY LIMITED,,
1432,526608,Electrotherm (India) Ltd,,
1433,512233,Jaybharat Textiles And Real Estate Limited,,
